Permission Name,Permission Options,Feature Access,Description,Recommendations,Tenant Role Recommendations
Admin: Provisioning Settings,"None, Full","This allows or disallows access to the Administration → Provisioning page, Settings tab.  When given to a Master Tenant user additional settings are displayed as compared to a subtenant user.","The Settings tab is where the global provisioning settings are configured. Such as, Allowing Cloud Selection, Allowing Host Selection, Requiring Environment Selection, Showing Pricing, Hidding datastore Stats on Selection, Cross-Tenant Naming Policies, and Reusing Naming Sequence Number for a Master Tenant User, additionally, for both Master Tenant and Subtenant user defining the Deployment Archive Store, the Cloud-Init Settings, the PXE Boot Root Password, and App Blueprint Default Types are available.",This permission is recommended to only be assigned to roles utilized within the Master Tenant.,
Admin: Roles,"None, Read, Full",This allows or disallows full or read access to the Administration → Roles page.  When given to a subtenant user the ability to create user roles is granted.  When given to a Master Tenant user the ability to create and manage Tenant and Multi-Tenant Users roles is also granted.,"The Roles page is where roles are defined. On create a name and description are defined, once created the role is accessed and feature access, group access, instance type access and blueprint access may be configured.",This permission is recommended for those responsible for configuring Role Based Access Control (RBAC) either globally or with subtenants.,
Admin: Service Plans,"None, Read, Full","This allows or disallows full or read access to the Administration → Plans & Pricing page, Plans tab when given to a user of a subtenant.  When given to a user of the master tenant, the Price Sets and Prices tabs are also available.","The Plans tab is where service plans are defined. On create a name and code (for API) are defined, display order, provisioning type, storage, memory, core count and the price may be configured. Additionally, the actions menu will allow group access to be scoped.",This permission is recommended for those responsible for defining and managing pricing and applying plans.,
Admin: Tenant,"None, Read, Full","This allows or disallows full or read access to the Administration → Tenants page. With this permission, local users may be created or deleted within each tenant.  Critical Note: Granting this permission to subtenant users will expose all tenants and tenant users to the subtenant.","The Tenant page is where all tenants may be viewed, edited, created, or even deleted.","This permission is recommended to only be assigned to roles utilized within the Master Tenant who are responsible for the creation, configuration, and/or deletion of subtenants.",This permission is recommended to be set to None for any subtenant user roles via use of a Tenant Role.
Admin: Tenant - Impersonate Users,"None, Full","This allows or disallows access to impersonate users, on the Administration → Users page, actions menu, Impersonate User is available.",This permissions allows for users in the Master Tenant to impersonate users of the Master Tenant and subtenants.,This permission is recommended to be assigned to only roles utilized within the Master Tenant who are responsible for configuring RBAC or for supporting users.,This permission is recommended to be set to None for any subtenant user roles via use of a Tenant Role.
Admin: Users,"None, Read, Full","This allows or disallows full or read access to the Administration → Users page, both the Users and User Groups tabs, as well as, Assignment of these users to User Roles during creation and while editing.  Note:  A Master Tenant user with the Admin: Tenants (Full) permision may also access and perform user management from the tenant page.","The User tab is where all users may be viewed, edited, created, or even deleted. The User Groups tab is where User Groups may be viewed, edited, created, or even deleted. Within Morpheus, a User Group may be selected during provisioning in order to add each group member's credentials to an instance. When creating a User Group a name, description, server group (in Linux, name of the grouped to assign members), sudo access toggle, and a list of users are defined.",This permission is recommended for those responsible for managing users and RBAC.,
Admin: Whitelabel Settings,"None, Full","This allows or disallows access to the Administration → Settings page, Whitelabel tab.","The Whitelabel tab is where tenant logos, colors, and security banners may be configured.",This permission is recommended for those responsible for branding tenants whether they are the Master Tenant or individual Subtenants.,
API: Billing,"None, Read, Full",This allows or disallows access to the invoices and projects API/CLI.,The invoices API/CLI is used to generate bills.  Read access allows list and get functions and Full allows access to post (refresh).,This permission is recommended for those responsible for generating invoices or projects.,This permission is recommended to be set to None for any subtenant user roles via use of a Tenant Role.
API: Execution Request,"None, Full",This allows or disallows access to an API enpoint.,"Enpoint that allows you to execute scripts on instances, containers, or hosts and then polls for a response.",This permssion is recommended for those responsible for arbitrary API script execution.,This permission is recommended to be set to None for any subtenant user roles via use of a Tenant Role.
Backups,"None, View, Read, User, Full","This allows or disallows full or read access the Backups page, including the Summary, Jobs, Backups, and History subpages.  User will allow access to only objects the user owns.","The Summary subpage allows the user to see the number of configured backups, the success rate, recent failures, and the size of the backups, as well as, the upcoming and in progress backups. The Jobs subpage is where backup jobs may be created, cloned, edited or deleted. On create a name, code (for use within the API), retention count, and schedule are selected (Note: Selectable schedules are defined within the Provisioning → Automation, Execute Scheduling tab). On the backups subpage, a list of configured backups is provided and new backups maybe created or on-demand backup may be executed. On create the place where the target exists is selected (Instance, Host, or Provider), the source is selected and a name is defined as well as the schedule which is selected. On the History subpage both the backups and restores tabs are available. Names, statuses, start times, durations and size may be viewed",This permission is recommended for those responsible for performing the backup and restoration of workloads.,
Backups: Integrations,"None, Read, Full",This allows or disallows full or read access to the Backups → Integrations page.,"From this page backup integrations may be created, edited, or deleted. The page also provides the status of existing integrations. On create the integration product is selected and all associated connection and authentication information must be provided. Additionally, visibility is set to either public or private. Integrations available include Avamar, Commvault, Rubrik, Veeam, and Zerto.",This permission is recommended for those responsible for the integration between Morpheus and Integrated Backup technologies.,This permission is recommended to be set to None for any subtenant user roles via use of a Tenant Role.
Infrastructure: Boot,"None, Read, Full","This allows or disallows full or read access to the Infrastructure → Boot page, including the Mapping, Boot Menus, Answer Files, Images, and Discovered MAC Addresses tabs.","Morpheus includes a PXE Server to provide for rapid bare metal provisioning.  The Infrastructure Boot page is where users may add, edit, or delete Answer Files, as well as, manage their own images or use existing ones.  Boot Menu's and Mappings are also managed here and Discovered MAC Addresses are displayed.",This permission is recommend for those responsible for bare metal provisioning.,
Infrastructure: Certificates,"None, Read, Full","This allows or disallows full or read access to the Infrastructure → Keys & Certs page, SSL Certificates tab.",The Infrastructure Keys and Certs SSL Certificates page is where certificates may be uploaded and managed.  These certificates may then be used within Morpheus when orchestrating Load Balancers.,This permission is recommended for personnel who will be orchestrating and provisioning load balancers.,
Infrastructure: Cloud,"None, Read, Full",This allows or disallows full or read access to the Infrastructure → Clouds page.,"The Infrastructure Cloud page is where clouds are added to Morpheus this includes creating a code for use within the API, the location, visibility, tenant, and whether or not it should be enabled and if VMs should be automatically powered on.  Additionally, clouds may be added from the Infrastructure Groups Clouds page.  ",This permission is recommended for those responsible for configuring RBAC as well as those responsible for Morpheus Cloud Integrations.,
Infrastructure: Clusters,"None, Read, Full",This allows or disallows full or read access to the Infrastructure → Clusters page.,"The Infrastructure Clusters page allows you to create and managing Kubernetes, Docker, and KVM Clusters, and Cloud specific Kubernetes services such as EKS.",This permission is recommend for those creating and managing containers or container services.,
Infrastructure: Groups,"None, Read, Full",This allows or disallows full or read access to the Infrastructure → Groups page.,"The Infrastructure Groups page is where groups are created and given a code for use within the API.  Additionally, the DNS Service, CMDB, Service Reqistry, and Config Management may be selected.  Existing Clouds/Hosts or new Clouds/Hosts are added to the group and Virtual and Bare Metal machines may be viewed.",This permission is recommended for those responsible for configuring Role Based Access Control (RBAC).,
Infrastructure: Hosts,"None, Read, Full","This allows or disallows full or read access to the Infrastructure → Hosts page, including the Hosts, Virtual Machines, and Bare Metal tabs.","The Infrastructure Compute page provides for viewing and managing Hosts, Virtual Machines, and Bare Metal hosts.  On the Bare Metal hosts page hosts may come from PXE Boot or may be manually added.  On the Hosts page hypervisors and Docker hosts are displayed. The Virtual Machines page lists all VM's.  On all three pages actions may be performed against machines.  Additionally, views may be refined by altering columns displayed and csv or json eporting of lists is available.   ",This permission is recommend for those whom need to take action upon machines and those responsible for bare metal provisioning.,
Infrastructure: Keypairs,"None, Read, Full","This allows or disallows full or read access to the Infrastructure → Keys & Certs page, Key Pairs tab.","The Infrastructure keypairs page allows for ease in accessing instances via SSH. On create a name, Public Key, Private Key, and Passphrase are entered.",This permission is recommended for those whom utilize Morpheus is deployment and/or management of Linux instances.,
Infrastructure: Load Balancers,"None, Read, Full","This allows or disallows full or read access to the Infrastructure → Load Balancers page, including both the Load Balancers and Virtual Servers tabs.","The Infrastructure Load Balancers page is where new load balancer integrations may be configured.  Additionally, existing integration may be managed.  The Infrastructure Virtual Services page is where Virtual Servers to include Policies, Pools, Profiles, Monitors, Nodes, and Rule Scripts may be managed.",This permission is recommended for those responsible for integrating Morpheus with Load Balancers as well as those responsible for managing Virtual Servers. ,
Infrastructure: Network Domains,"None, Read, Full","This allows or disallows full or read access to the Infrastructure → Networks page, Domains tab.","The Infrastructure Networks Domain page is where domains are managed.  Domains are used for setting FQDNs, joining Windows Instances to Domains, and creating A Records with DNS Integrations.  On create the domain controller and credentials for domain join must be provided.",This permission is recommended for those responsible for Morpheus to DNS as well as domain join integrations.  ,
Infrastructure: Network Proxies,"None, Read, Full","This allows or disallows full or read access to the Infrastructure → Networks page, Proxies tab.",The Infrastructure Networks Proxies page is where Proxy configurations are stored. These are for use by provisioning engines ,This permission is recommended for those responsible for configuring proxies to be used when provisioning.,
Infrastructure: Network Routers,"None, Read, Group, Full","This allows or disallows full or read access to the Infrastructure → Networks page, Routers tab.  Group allows access to Objects shared to groups associated with the user.",The Infrastructure Networks Routers page is where virtual Routers are created and managed from Cloud and Network integrations.,This permission is recommended for those responsible for network management.,
Infrastructure: Networks,"None, Read, Group, Full","This allows or disallows full or read access to the Infrastructure → Network page, including the Networks, Network Groups, and Integrations tabs.  Group allows access to Objects shared to groups associated with the user.","The Infrastructure Networks page is where networks are configured for DHCP or Static IP assignement and existing networks are displayed.  The Infrastructure Network Groups page is where networks are grouped to allow round robin provisioning among the group.  The Infrastructure Networks Integrations page is where IPAM, DNS, Security, Service Registry, and Virtual Network tools are integrated.  These include; Cisco ACI, VMware NSX T and V, Infoblox, Bluecat, phpIPAM, SolarWinds, Stealth, Microsoft DNS, PowerDNS, and Route 53.  ",This permission is recommended for those responsible for Morpheus to network technology integrations and the configuration and management of networks to be use during provisioning.,
Infrastructure: Nework IP Pools,"None, Read, Full","This allows or disallows full or read access to the Infrastructure → Networks page, IP Pools tab.","The Infrastructure Networks IP Pools page is where Morpheus IP Pools may be created.  On create a name and IP Range are provided.  Additionally, pools from IPAM integrations are displayed.",This permission is recommended for those responsible for IP Management and for those responsible for IPAM Integrations.,
Infrastructure: Policies,Deprecated,,,,
Infrastructure: Security Groups,"None, Read, Full","This allows or disallows full or read access to the Infrastructure → Network page, Security Groups tab.",The Infrastructure Network Security Group page is where Security Groups (aka Virtual Firewalls) are defined.,This permission is recommended for thosre responsible for Firewall configuration and management,
Infrastructure: State,Deprecated,,,,
Infrastructure: Storage,"None, Read, Full","This allows or disallows full or read access to the Infrastructure → Storage page, including the Buckets, File Shares, Volumes, Data Stores, and Servers tabs.","The Infrastructure Storage Servers page is where Morpheus to Storage Server integration are configured.  Integration available include 3Par, AWS S3, Dell EMC ECS and Isilon, Huawei or Open Telekom OBS and Huawei, Open Telekom, OpenStack SFS  The Infrastructure Storage Volumes page is where volumes may be created or viewed.   The Infrastructure Storage File Shares page is where File Shares of types CIFS, Dell EMC ECS or Isilon, Local Storage, and NFSv3 may be configured.  The Infrastructure Storage Buckets page is where storage buckets of type AWS S3, Alibaba, Azure, Open Telekom OBS, OpenStack Swift, Racspace CDN may be created.  Storage Buckets are used for Backup, Archives, and Virtual Images.  The Infrastructure Storage Data Store page is where permissions to data stores may be managed.",This permission is recommended for those responsible for storage integrations and configurations.,This permission is recommended to be set to None or Read for any subtenant user roles via use of a Tenant Role.
Infrastructure: Storage Browser,"None, Read, Full","This allows or disallows full or read access to capability to browse files on the Infrastructure → Storage page, Buckets and File Shares tabs.","The Infrastructure Storage Browser permissions allows users whom have the Infrastructure Storage permission to browse, add files and folders, download and delete from the Buckets and Files Shares.",This permission is recommended for those who need to browse storage.,
Infrastructure: Trust Integrations,"None, Read, Full","This allows or disallows full or read access to the Infrastructure → Keys & Certs page, integrations tab.",The Infrastructure Keys & Certs Integrations tab is where new integrations can be configured. This includes Venafi.,This permission is recommended for those responsible for the integration between Morpheus and Venafi.,This permission is recommended to be set to None or Read for any subtenant user roles via use of a Tenant Role.
Integrations: Ansible,"None, Full",This allows or disallows access to the Administration → Integrations page.,The Administration Integrations tab is where existing integrations are displayed and new integrations may be created. This permission applies only to existing Ansible integrations.  It allows or disallows the ability to edit existing Ansible Integrations.,This permission is recommened for those responsible for Morpheus to Ansible integrations.,This permission is recommended to be set to None for any subtenant user roles via use of a Tenant Role.
Logs,"None, Read, User, Full",This allows or disallows full or read access to the Logs page.  User will allow access to only object the user owns.,The Logs page is where logs may be viewed.,This permission is recommended for those responsible for troublshooting.,
Monitoring,"None, Read, User, Full","This allows or disallows full or read access to the Monitoring page, including the Status, Apps, Checks, Groups, Incidents, Contacts, and Alert Rules subpages.  User will allow access to only object the user owns.",The Monitoring Checks page is where automatically created checks are customized or new checks are created.  The Monitoring Groups and Apps pages is where checks may be grouped.  The Monitoring Incidents page is where incidents are created upon Check failure.  The Monitoring Contacts page is where contacts may be added for notifications.  Then Monitoring Alert Rules page is where notification are configured.,"This permission is recommended for those responsible for montoring applications, incidents, or configuring notifications.",
None - No Permissions,,This allows only access to the User Setting page displayed under the Operations tab.,"The User Settings page is where users may upload their photo, enter values for username, first name, last name, email address, and password, as well as, defining both user-specific Linux and Windows settings (user names and passwords (SSH Key for Linux) to be added to machines during provisioning). Additionally, generating and refreshing API Access tokens is done via this page.",,
Operations: Activity,"None, Read","This allows or disallows access to the Operations → Activity page, including the Activity and History tabs.","The Operations Activity page displays 5 types of recent activities: Provisioning, Alerts, Backups, and Permissions.",This permission is recommned for those repsonsible to monitor or view activities and their status within Morpheus.,
Operations: Analytics,"None, Read, Full",This allows or disallows full or read access to the Operations → Analytics page.,"The Operations Analytics page gives administrators the ability to break down costs and usage, then filter the results by relevant delineations including Groups, Clouds, Tenants or even tag values.",This permission is recommended for those responsible for understanding utilization and costs.,
Operations: Approvals,"None, Read, Full",This allows or disallows full or read access to the Operations → Approvals page.,"For Internal Morpheus or ServiceNow, When a Provisioning Approval Policy is created for a group or cloud, on provision an approval request will be generated.   ","This permission is recommended for those responsible for approving, denying, or canceling Approval Requests.",
Operations: Budgets,"None, Read, Full",This allows or disallows full or read access to the Operations → Budgets page.,"The Operations Budgets page is where budgets are created and applied to clouds, tenants, users, or groups.",This permission is recommended for those responsible for manageing budgets.,
Operations: Dashboards,"None, Read",This allows or disallows access to the Operations → Dashboards page.,"The Operations Dashboard page is a single pane of glass showing quick, easy to read performance and configuration information about the Morpheus Environment.",This permission is recommended for all users.,
Operations: Guidance,"None, Read, Full",This allows or disallows full or read access to the Operations → Guidance page.,The Operations Guidance page shows recommendations for resource and costs utilization optimization.,This permission is recommended for those responsible to optimize utilization and costs of clouds.,
Operations: Health,"None, Read","This allows or disallows access to the Operations → Health page, including the Morpheus Health, Alarms, and Morpheus Logs tabs.","The Operations Health pages provide an overview of Morpheus health, notifications from integrations, and the current morpheus-ui log.  ",This permission is recommended for those responsible for administering and troubleshooting Morpheus.,This permission is recommended to be set to None for any subtenant user roles via use of a Tenant Role.
Operations: Reports,"None, Read, Full",This allows or disallows full or read access to the Operations → Reports page.,The Operations Reports page is where reports may be generated and exported into JSON or CSV format.,"This permission is recommened for those interested in Account, Infrastructure, Provisioning, Usage, and Cost reports.",
Operations: Usage,"None, Read, Full","This allows or disallows full or read access to the Operations → Activity page, Usage tab.",The Operations Activity Usage page shows Billing information for Instances and Hosts that have pricing configured on their Service Plan.,This permissions is recommended for those responsible for costs.,
Operations: Wiki,"None, Read, Full",This allows or disallows full or read access to the Operations → Wiki page.,"The Operations Wiki page allows easy UI, API and CLI access to information to be referenced or shared with others. Wiki pages encompass individual Clouds, Groups, Servers, Instances, Clusters, and other pages can be manually created. Wiki pages from resources are accessible from Operations - Wiki or in within individual resource detail pages in the Wiki tab.",This permission is recommend for those interested in documenation and knowledge management.,
Provisioning Administrator,"None, Full","This allows or disallows access to the Provisioning → Instances page, On Edit, Owner.",Allows you to change the ownership of an instance.,This permission is recommended for those responsible to ensure all instances are owned by appropriate personnel.,
Provisioning: Advanced Node Type Options,"None, Full","This allows or disallows access to the Provisioning → Library page, Node Types tab, Vmware Type, Advanced Options.","The Provisioning Library Node Type page when VMware Technology Type is selected, extra options will be available in the VMware VM Options section. These allow defining advance vmx-file parameters during provisioning.",This permission is recommended for those responsible for manageing VMware Node Types (Images).,
Provisioning: Allow Force Delete,"None, Full","This allows or disallows access to the Infrastructure → Hosts page, including the Hosts, Virtual Machines, and Bare Metal tabs, Delete on the actions menu with the option for select Force Delete.","Allows force delete to delete instances, virtual machines or hosts but may cause orphaned objects.",This permission is recommened for those responsible to ensure orphaned objects are removed.,
Provisioning: Apps,"None, Read, User, Full",This allows or disallows full or read access to the Provisioning → Apps page.  User will allow access to only object the user owns.,"The Provisioning Apps page allows instances to be grouped and tiered.  From this page Apps can be deployed and instances can be added to existing Apps.  Security groups, Environmental Variables (Linux Only) may be added and edited.  The App log, history, and monitoring tabs may be viewed.",This permission is recommended for those responsible for provisioning.,
Provisioning: Automation integrations,"None, Read, Full","This allows or disallows full or read access to the Provisioning → Automations page, Integrations tab.","The Provisioning Automation Integrations tab is where new integration can be configured. These include Chef, Puppet, Ansible, Salt Master, Ansible Tower, vRealize Orchestrator.",This permission is recommended for those responsible for the integration between Morpheus and integrated automation technologies.,This permission is recommended to be set to None or Read for any subtenant user roles via use of a Tenant Role.
Provisioning: Blueprint - Terraform,"None, Provision, Full","This allows or disallows access to the Provisioning → Blueprints page, Blueprint Type: Terraform.  Provision allows for the provisioning of Terraform Blueprints.",The Provisioning Blueprints page allows for the creation of  pre-configured full multi-tier application definitions which can be deployed via the Apps page.  With this permisison the blueprint type of Terraform is available.,This permission is recommneded for those responsible for defining Terraform blueprints.,
Provisioning: Blueprints,"None, Read, Full",This allows or disallows full or read access to the Provisioning → Blueprints page.,The Provisioning Blueprints page allows for the creation of  pre-configured full multi-tier application definitions which can be deployed via the Apps page.  With this permisison the blueprint type of Morpheus is available.,This permission is recommneded for those responsible for defining Morpheus blueprints.,
Provisioning: Blueprints - ARM,"None, Provision, Full","This allows or disallows access to the Provisioning → Blueprints page, Blueprint Type: ARM. Provision allows for the provisioning of ARM Blueprints.",The Provisioning Blueprints page allows for the creation of  pre-configured full multi-tier application definitions which can be deployed via the Apps page.  With this permisison the blueprint type of ARM is available.,This permission is recommneded for those responsible for defining ARM blueprints.,
Provisioning: Blueprints - CloudFormation,"None, Provision, Full","This allows or disallows access to the Provisioning → Blueprints page, Blueprint Type: CloudFormation.  Provision allows for the provisioning of CloudFormation Blueprints.",The Provisioning Blueprints page allows for the creation of  pre-configured full multi-tier application definitions which can be deployed via the Apps page.  With this permisison the blueprint type of CloudFormation is available.,This permission is recommneded for those responsible for defining CloudFormation blueprints.,
Provisioning: Blueprints - Helm,"None, Provision, Full","This allows or disallows access to the Provisioning → Blueprints page, Blueprint Type: Helm. Provision allows for the provisioning of Helm Blueprints.",The Provisioning Blueprints page allows for the creation of  pre-configured full multi-tier application definitions which can be deployed via the Apps page.  With this permisison the blueprint type of Helm is available.,This permission is recommneded for those responsible for defining Helm blueprints.,
Provisioning: Blueprints - Kubernetes,"None, Provision, Full","This allows or disallows access to the Provisioning → Blueprints page, Blueprint Type: Kubernetes. Provision allows for the provisioning of Kubernetes Blueprints.",The Provisioning Blueprints page allows for the creation of  pre-configured full multi-tier application definitions which can be deployed via the Apps page.  With this permisison the blueprint type of Kubernetes is available.,This permission is recommneded for those responsible for defining Kubernetes blueprints.,
Provisioning: Deployment Integrations,"None, Read, Full","This allows or disallows full or read access to the Provisioning → Deployments page, Integrations tab.","From this page deployment integrations may be created, edited, or deleted. On create the integration product is selected and all associated connection and authentication information must be provided. Integrations available include Git, Github, and Jenkins.",This permission is recommended for those responsible for the integration between Morpheus and integrated deployment technologies.,This permission is recommended to be set to None or Read for any subtenant user roles via use of a Tenant Role.
Provisioning: Deployments,"None, Read, Full","This allows or disallows full or read access to the Provisioning → Deployments page, Deployments tab.","The Provisioning Deployments page provides the ability to use git, fetch from a url, or upload a file to be utilized during the provisioning of an instance or pushed to an existing instance.",This permission is recommended for those responsible for providing and managing software.,
Provisioning: Instances,"None, Read, User, Full",This allows or disallows full or read access to the Provisioning → Instances page.  User will allow access to only object the user owns.,The Provisioning Instances page allows containers or virtual machines to be provisioned in a single horizontally scalable entity or a service suite.,This permission is recommended for those responsible for provisioning.,
Provisioning: Job Executions,"None, Read","This allows or disallows access to the Provisioning → Jobs page, Job Executions tab.","The Provisioning Jobs Job Execution page contains execution history of completed Jobs, including any process outputs and error messages.",This permission is recommened for those who are responsible for managing or troubleshooting jobs.,
Provisioning: Jobs,"None, Read, Full","This allows or disallows full or read access to the Provisioning → Jobs page, Jobs tab.",The Provisioning Jobs page is where jobs are scheduled for the execution of Automation Tasks and Workflows.,This permission is recommended for those responsible to schedule the exectution of Tasks or Workflows.,
Provisioning: Library,"None, Read, Full","This allows or disallows full or read access to the Provisioning → Library page, including the Instance Types, Layouts, Node Types, Inputs, Option Lists, File Templates, Scripts, Spec Templates, and Cluster Layouts tabs.","The Provisioning Library pages is where the various library elements are created and maintained.  These include: Instance Types, Layouts, Node Types, Inputs, Option Lists, File Templates, Scripts, Spec Templates, and  Cluster Layouts.",This permission is recommended for those reponsible to manage the library.,
Provisioning: Scheduling - Execute,"None, Read, Full","This allows or disallows full or read access to the Provisioning → Automation page, Execute Scheduling tab.","The Provisioning Automation Execute Scheduling page is where time schedules for Jobs, including Task, Workflows and Backup Jobs are created.",This permission is recommended for those responsible to create and manage schedules to be selected when scheduling jobs.,
Provisioning: Scheduling - Power,"None, Read, Full","This allows or disallows full or read access to the Provisioning → Automation page, Power Scheduling tab.","The Provisioning Automation Power Scheduling page is where startup and shutdown times are created, these schedules can be applied via policy to groups or clouds.",This permission is recommneded for those responsible to create and managed schedules for startup and shutdown.,
Provisioning: Service Mesh,"None, Read, User, Full","This allows or disallows full or read access to the Provisioning → Service Mesh page, including the Services and DNS tabs.  User will allow access to only object the user owns.",The Provisioning Service Mesh page displays container services and DNS information.  A service mesh ensures fast and reliable communication between containerized application services. ,This permission is recommended for those repsonsible for container management.,
Provisioning: Tasks,"None, Read, Full","This allows or disallows full or read access to the Provisioning → Automation page, including the Tasks, Workflows, and Executions tabs.","The Provisioning Automation Tasks page is where tasks are created and managed.  Task types include: scripts added directly, scripts and templates from the Library section, recipes, playbooks, salt states, puppet agent installs, and http (api) calls.  The Provisioning Automation Workflows page offer both Provisioning and Operational Workflows.  Workflows are used to execute one or many tasks during specified phases.  The Provisioning Automation Executions pages shows the status of executed tasks and workflows.",This permission is recommended for those responsible for creating provisioning and operational scripts.,
Provisioning: Tasks - Script Engines,"None, Full","This allows or disallows access to the Provisioning → Automation page, Tasks tab, on task create, Type displays advanced script capabilities.","The Provisioning Automation Tasks page is where tasks are created and managed.  This permission adds the ability to select Groovy Script, Javascript, jRuby Script, and Python Script from the Task Types drop down.",This permssion is recommended for those responsible for Tasks containing advanced script capabilities.,
Provisioning: Threshholds,"None, Read, Full","This allows or disallows full or read access to the Provisioning page, Scale Thresholds tab.","The Provisioning Scale Thresholds page is where pre-configured settings for auto-scaling Instances is configured. When adding auto-scaling to an instance, existing Scale Thresholds can be selected to define auto-scaling rules.",This permission is recommended for those responsible for defining auto scaling for instances.,This permission is recommended to be set to None or Read for any subtenant user roles via use of a Tenant Role.
Provisioning: Virtual Images,"None, Read, Full",This allows or disallows full or read access to the Provisioning → Virtual Images page.,"The Provisioning Virtual Images page displays a list of all images, local and synced, that are available to deploy.  Available images include those that are shipped with Morpheus, synced from integrated clouds, and uploaded directly into Morpheus by the user.",This permission is recommended for thosre responsible for Image management.,
Remote Console,"None, Provisioned, Full","This allows or disallows access to the Infrastructure → Hosts page, Hosts, Virtual Machines, or Bare Metal, Console.","Remote Console for Instances, Hosts, Virtual Machines and Bare Metal.",This permission is recommended for those whom should be allow to access the machine via remote console.,
Remote Console: Auto Login,"No, Yes",This allows or disallows the ability to Auto Login to the Remote Console.,"Morpheus will automatically login to the machine using the credentials defined on the VM or Host. The credentials are defined either from the credentials defined on the Virtual Image used, added via cloud-init or VMware Tools using the global cloud-init settings (Administration - Provisioning) or the Linux or Windows settings defined in User Settings.","This permission is recommneded when an organization utilizes Morpheus to create user accounts on provisioning or managed machines, as well as, allow remote console access.",
